canonical_bioactive_name,source_key_count,total_presence_count,total_nonzero_count,source_keys,display_names,source_units,display_units,review_statuses,match_methods
Ph,1,5,5,ph_100g,Ph,g/100g,g/100g,auto_mapped,exact_normalized_match
Phosphorus,1,178,121,phosphorus_100g,Phosphorus,g/100g,mg/100g,auto_mapped,exact_normalized_match
Polyols,2,28,14,polyols_100g; total-sugar-alcohols_100g,Polyols,g/100g,g/100g,alias_mapped_review,manual_alias; second_pass_alias
"Polyphenols, total",5,8,8,en-polifenoles-de-te-blanco_100g; en-polyphenols_100g; en-ポリフェノール_100g; polifenoles_100g; polyphenols_100g,"Polyphenols, total",g/100g,g/100g; mg/100g,alias_mapped_review,fourth_pass_broad_alias; manual_alias; second_pass_alias
Polyunsaturated Fat,20,249,100,fatty-acids-total-polyunsaturated_100g; polyunsaturated-fat_100g; pufa-18-2-clas_100g; pufa-18-2-i_100g; pufa-18-2-n-6-c-c_100g; pufa-18-2_100g; pufa-18-3-n-3-c-c-c-ala_100g; pufa-18-3-n-6-c-c-c_100g; pufa-18-3_100g; pufa-18-3i_100g; pufa-18-4_100g; pufa-20-2-n-6-c-c_100g; pufa-20-3-n-3_100g; pufa-20-3-n-6_100g; pufa-20-3_100g; pufa-20-4_100g; pufa-20-5-n-3-epa_100g; pufa-22-4_100g; pufa-22-5-n-3-dpa_100g; pufa-22-6-n-3-dha_100g,Polyunsaturated Fat,g/100g,g/100g,alias_mapped_review,manual_alias
Potassium,1,756,669,potassium_100g,Potassium,g/100g,mg/100g,auto_mapped,exact_normalized_match
Proteins,1,1482,602,proteins_100g,Proteins,g/100g,g/100g,alias_mapped_review,manual_alias
Riboflavin,4,253,191,fr-riboflavine-b2_100g; riboflavin_100g; th-วิตามินบี2_100g; vitamin-b2_100g,Riboflavin,g/100g,mg/100g,alias_mapped_review,manual_alias; second_pass_alias
Salt,2,1142,814,added-salt_100g; salt_100g,Salt,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias_variant
Saturated Fat,15,1541,380,saturated-fat_100g; sfa-10-0_100g; sfa-12-0_100g; sfa-13-0_100g; sfa-14-0_100g; sfa-15-0_100g; sfa-16-0_100g; sfa-17-0_100g; sfa-18-0_100g; sfa-20-0_100g; sfa-22-0_100g; sfa-24-0_100g; sfa-4-0_100g; sfa-6-0_100g; sfa-8-0_100g,Saturated Fat,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
Selenium,2,124,56,selenium-se_100g; selenium_100g,Selenium,g/100g,ug/100g,alias_mapped_review; auto_mapped,exact_normalized_match; manual_alias
Sodium,1,1477,1066,sodium_100g,Sodium,g/100g,mg/100g,auto_mapped,exact_normalized_match
Soluble Fiber,2,8,6,fiber-soluble_100g; soluble-fiber_100g,Soluble Fiber,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; second_pass_alias
Starch,1,76,3,starch_100g,Starch,g/100g,g/100g,auto_mapped,exact_normalized_match
Sucrose,1,14,14,sucrose_100g,Sucrose,g/100g,g/100g,auto_mapped,exact_normalized_match
Sugars,5,1859,1458,added-sugars_100g; galactose_100g; sugars-total_100g; sugars_100g; total-added-sugars_100g,Sugars,g/100g,g/100g,alias_mapped_review; auto_mapped,exact_normalized_match; fourth_pass_broad_alias; manual_alias; second_pass_alias
Sulfate,5,9,9,fr-sulfate_100g; fr-sulfates_100g; sulfat_100g; sulfates_100g; sulphate_100g,Sulfate,g/100g,mg/100g,alias_mapped_review,manual_alias; second_pass_alias
Taurine,1,24,21,taurine_100g,Taurine,g/100g,mg/100g,auto_mapped,exact_normalized_match
Thiamin,3,217,125,th-วิตามินบี1_100g; thiamin_100g; vitamin-b1_100g,Thiamin,g/100g,mg/100g,alias_mapped_review,manual_alias; second_pass_alias
