source_key,display_name,exclude_reason,review_status,source_unit,display_unit,conversion_notes,presence_count,nonzero_count,sample_values
iodine_prepared_100g,Iodine,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",1,1,[9.22e-06]
iron_prepared_100g,Iron,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",10,10,"[0.0016, 0.00128, 0.002715, 0.000861, 0.0011, 4e-05, 0.000193, 0.0017, 0.00162, 0.0013700000000000001]"
lycopene_100g,Lycopene,zero_only_no_matching_evidence_target,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,13,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
magnesium_prepared_100g,Magnesium,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",8,8,"[0.039975, 0.0358, 0.07100000000000001, 0.0282, 0.012, 0.0209, 0.04206, 0.0935]"
manganese_prepared_100g,Manganese,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",1,1,[0.000154]
molybdenum_prepared_100g,Molybdenum,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,ug/100g,"source g/100g converted to ug/100g by multiplying by 1,000,000",1,1,[2.77e-06]
monounsaturated-fat_prepared_100g,Monounsaturated Fat,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,2,2,"[1.84, 1.3]"
nova-group_100g,Nova Group,processing_classification_not_nutriment,excluded,score/100g,score/100g,no mass conversion; special unit or score field,1057,1057,"[4.0, 4.0, 4.0, 3.0, 4.0, 3.5, 4.0, 4.0, 4.0, 1.0]"
nutrition-score-fr-producer_100g,Nutrition Score Fr Producer,nutrition_score_not_nutriment,excluded,score/100g,score/100g,no mass conversion; special unit or score field,44,41,"[12.0, 4.0, 12.0, 12.0, 12.0, 12.0, 2.0, 3.0, 2.0, 1.0]"
nutrition-score-fr_100g,Nutrition Score Fr,nutrition_score_not_nutriment,excluded,score/100g,score/100g,no mass conversion; special unit or score field,1089,902,"[20.0, 1.0, 0.0, 4.0, 7.0, 13.0, 0.0, 7.5, 15.0, 13.0]"
pantothenic-acid_prepared_100g,Pantothenic Acid,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",7,7,"[0.00045, 3.75e-05, 0.00045000000000000004, 0.000369, 0.00045000000000000004, 0.00053, 0.00124]"
phosphorus_prepared_100g,Phosphorus,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",10,10,"[0.101, 0.097, 0.114, 0.16999999999999998, 0.10200000000000001, 0.087, 0.09055, 0.10135000000000001, 0.101, 0.1015]"
polyunsaturated-fat_prepared_100g,Polyunsaturated Fat,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,2,2,"[0.154, 0.1]"
potassium_prepared_100g,Potassium,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,mg/100g,"source g/100g converted to mg/100g by multiplying by 1,000",8,8,"[0.21, 0.21, 0.107025, 0.194, 0.15, 0.2, 0.21, 0.21]"
proteins_prepared_100g,Proteins,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,142,65,"[2.545, 0.0, 0.0, 1.1, 0.05, 0.0, 0.1, 0.0, 0.99, 0.2]"
pt-minelarizacao-total_100g,Pt Minelarizacao Total,mineralization_metadata_not_specific_nutriment,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[2.807]
råsaft_prepared_100g,Råsaft,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source presumed g/100g; review if micronutrient,1,1,[7.0]
salt_prepared_100g,Salt,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,143,77,"[0.10175000000000001, 0.01, 0.0, 0.0375, 0.04, 0.0, 0.01, 0.0, 0.429, 0.05]"
saturated-fat_prepared_100g,Saturated Fat,prepared_duplicate_needs_per_ingredient_fallback,excluded,g/100g,g/100g,source already expressed as g/100g,139,40,"[1.0614999999999999, 0.0, 0.0, 0.4, 0.05, 0.0, 0.0, 0.0, 5.8, 0.0]"
